sample,source_class,linear_error,angular_error,original_linear,original_angular,mirrored_linear,mirrored_angular
0,success,0.4824572503566742,1.7066915035247803,0.945019006729126,-0.9764401316642761,0.4625617563724518,-0.7302513718605042
1,success,0.5354899168014526,1.675983190536499,0.9537808895111084,-0.979316234588623,0.4182909429073334,-0.6966668963432312
2,success,0.2536885738372803,1.837647795677185,0.953848659992218,-0.9800930619239807,0.7001600861549377,-0.8575547337532043
3,success,0.27167826890945435,1.831272006034851,0.9481998085975647,-0.9787065386772156,0.6765215396881104,-0.8525654673576355
4,success,0.3926296532154083,1.712893009185791,0.8790265917778015,-0.9519467353820801,0.4863969385623932,-0.7609462141990662
5,success,0.5548009872436523,1.6671669483184814,0.9512231349945068,-0.9784953594207764,0.3964221477508545,-0.6886715888977051
6,success,0.2663690447807312,1.8321822881698608,0.9514235854148865,-0.9794562458992004,0.6850545406341553,-0.8527260422706604
7,success,0.6119693517684937,1.6658170223236084,0.9349162578582764,-0.9725955128669739,0.3229469060897827,-0.6932214498519897
8,success,0.2844204306602478,1.807770848274231,0.9310235977172852,-0.9720301628112793,0.6466031670570374,-0.8357406854629517
9,success,0.28679078817367554,1.8243600130081177,0.9417340755462646,-0.9767285585403442,0.6549432873725891,-0.8476314544677734
10,success,0.28066349029541016,1.826317548751831,0.9474840760231018,-0.9784132838249207,0.6668205857276917,-0.8479043245315552
11,success,0.33202362060546875,1.7971131801605225,0.9432212114334106,-0.9766423106193542,0.6111975908279419,-0.8204708099365234
12,success,0.5666736364364624,1.6617803573608398,0.949444055557251,-0.9778472781181335,0.3827704191207886,-0.6839330196380615
13,success,0.26593101024627686,1.8318662643432617,0.952018678188324,-0.9795777201652527,0.6860876679420471,-0.852288544178009
14,success,0.30231744050979614,1.806374192237854,0.9283079504966736,-0.9719759821891785,0.6259905099868774,-0.8343982100486755
15,success,0.3868451714515686,1.74129056930542,0.9280799031257629,-0.9696314930915833,0.5412347316741943,-0.7716590762138367
16,success,0.33811402320861816,1.8157329559326172,0.9401364922523499,-0.9754394292831421,0.6020224690437317,-0.8402935862541199
17,success,0.5389750003814697,1.6800777912139893,0.9512784481048584,-0.9786677956581116,0.4123034179210663,-0.7014100551605225
18,success,0.32148897647857666,1.803046703338623,0.9391969442367554,-0.9755213260650635,0.6177079677581787,-0.8275253176689148
19,success,0.5038770437240601,1.6983695030212402,0.9507879018783569,-0.9784836769104004,0.4469108581542969,-0.7198857665061951
20,success,0.6500288248062134,1.572420358657837,0.9066455960273743,-0.962124228477478,0.2566168010234833,-0.6102961301803589
21,success,0.12002688646316528,1.8910160064697266,0.9319151043891907,-0.9708145260810852,0.8118882179260254,-0.9202014207839966
22,success,0.15240579843521118,1.7806353569030762,0.8360183835029602,-0.9357399940490723,0.683612585067749,-0.8448953628540039
23,success,0.3168925642967224,1.8075358867645264,0.9358505010604858,-0.9746794104576111,0.6189579367637634,-0.8328564763069153
24,success,0.2992821931838989,1.813913106918335,0.9444177746772766,-0.9771155118942261,0.6451355814933777,-0.8367976546287537
25,success,0.3072893023490906,1.803765058517456,0.9352376461029053,-0.973928689956665,0.6279483437538147,-0.829836368560791
26,success,0.2618342638015747,1.8338227272033691,0.9523710012435913,-0.9797021746635437,0.6905367374420166,-0.8541206121444702
27,success,0.3651584982872009,1.656937837600708,0.8631654977798462,-0.9414144158363342,0.49800699949264526,-0.7155234813690186
28,success,0.17054277658462524,1.7858784198760986,0.8765830993652344,-0.9461033940315247,0.7060403227806091,-0.839775025844574
29,success,0.2559777796268463,1.6678881645202637,0.7401072978973389,-0.9011260867118835,0.48412951827049255,-0.7667621374130249
30,success,0.504942774772644,1.6946463584899902,0.9553828239440918,-0.9798858761787415,0.45044007897377014,-0.7147604823112488
31,success,0.2624562382698059,1.8345239162445068,0.9480243921279907,-0.978570818901062,0.6855681538581848,-0.8559531569480896
32,success,0.3184170722961426,1.804832935333252,0.9440904259681702,-0.9770200252532959,0.6256733536720276,-0.827812910079956
33,success,0.2852442264556885,1.8230886459350586,0.9477022886276245,-0.9783980250358582,0.662458062171936,-0.8446905612945557
34,success,0.4440706670284271,1.7225539684295654,0.9257217645645142,-0.9691525101661682,0.48165109753608704,-0.7534014582633972
35,success,0.538580060005188,1.675903558731079,0.9526975750923157,-0.9790166020393372,0.4141175150871277,-0.6968868970870972
36,success,0.246332049369812,1.8277199268341064,0.9256671071052551,-0.9705389738082886,0.6793350577354431,-0.8571808934211731
37,success,0.5418232679367065,1.5010931491851807,0.7759051322937012,-0.9105476140975952,0.23408186435699463,-0.5905455350875854
38,success,1.1103702783584595,1.2036641836166382,0.9283859729766846,-0.9670386910438538,-0.18198427557945251,-0.23662550747394562
39,success,0.29810500144958496,1.8137818574905396,0.9337753653526306,-0.9738340973854065,0.6356703639030457,-0.8399477601051331
40,success,0.266537070274353,1.827797770500183,0.9444655776023865,-0.9771094918251038,0.6779285073280334,-0.8506882786750793
41,success,1.0968163013458252,1.2177151441574097,0.9298601150512695,-0.9676917195320129,-0.16695623099803925,-0.25002342462539673
42,success,0.02915734052658081,1.8952513933181763,0.8743073344230652,-0.9524490833282471,0.8451499938964844,-0.9428023099899292
43,success,0.542637825012207,1.674480676651001,0.9521746039390564,-0.9788616299629211,0.40953677892684937,-0.6956191062927246
44,success,0.5307222604751587,1.6800278425216675,0.9546179175376892,-0.9796224236488342,0.42389562726020813,-0.7004054188728333
45,success,0.5075048208236694,1.6921143531799316,0.9558873176574707,-0.9800097346305847,0.4483824670314789,-0.7121046185493469
46,success,0.5105198621749878,1.6927350759506226,0.9455081224441528,-0.9765888452529907,0.43498823046684265,-0.7161462306976318
47,success,0.16082024574279785,1.8166229724884033,0.8980503082275391,-0.9564898014068604,0.7372300624847412,-0.8601332306861877
48,success,0.26545393466949463,1.8284114599227905,0.9395174384117126,-0.9757339358329773,0.674063503742218,-0.8526775240898132
49,success,0.2997692823410034,1.8154959678649902,0.9443337917327881,-0.9772352576255798,0.6445645093917847,-0.8382607698440552
50,success,0.11890864372253418,1.8810911178588867,0.9068384766578674,-0.9635733366012573,0.7879298329353333,-0.9175178408622742
51,success,0.5707603693008423,1.4680832624435425,0.766308069229126,-0.9066085815429688,0.1955476999282837,-0.5614746809005737
52,success,0.35535871982574463,1.5870952606201172,0.7224553227424622,-0.8830217719078064,0.36709660291671753,-0.7040735483169556
53,success,0.5267557501792908,1.6821374893188477,0.9414587616920471,-0.9751625657081604,0.41470301151275635,-0.7069749236106873
54,success,0.17646712064743042,1.815950870513916,0.8916947245597839,-0.9562233090400696,0.7152276039123535,-0.8597276210784912
55,success,0.2536833882331848,1.8273975849151611,0.934845507144928,-0.9735439419746399,0.6811621189117432,-0.853853702545166
56,success,0.38644468784332275,1.6928315162658691,0.875535249710083,-0.9494641423225403,0.48909056186676025,-0.7433673739433289
57,success,0.5475540161132812,1.6774115562438965,0.9482269883155823,-0.9776450991630554,0.40067294239997864,-0.6997664570808411
58,success,0.2636553645133972,1.8341059684753418,0.9461342096328735,-0.9780336022377014,0.6824788451194763,-0.8560723066329956
59,success,0.8953731656074524,1.44499933719635,0.9196679592132568,-0.966856062412262,0.024294769391417503,-0.4781433045864105
60,success,0.5052797794342041,1.6970019340515137,0.9479998350143433,-0.9774752259254456,0.4427200257778168,-0.7195266485214233
61,success,0.5125001668930054,1.6876988410949707,0.943693220615387,-0.9758042693138123,0.431193083524704,-0.7118945717811584
62,success,0.16220146417617798,1.806470274925232,0.878759503364563,-0.950520396232605,0.716558039188385,-0.855949878692627
63,success,0.26859748363494873,1.8310575485229492,0.9475900530815125,-0.9783940315246582,0.6789925694465637,-0.8526634573936462
64,success,0.6245608329772949,1.4547526836395264,0.801318883895874,-0.9199591875076294,0.1767580211162567,-0.5347935557365417
65,success,0.5603253245353699,1.6597764492034912,0.9529642462730408,-0.9789738655090332,0.3926389217376709,-0.680802583694458
66,success,0.8405246734619141,1.4466991424560547,0.9415678381919861,-0.9747046232223511,0.10104315727949142,-0.471994549036026
67,success,0.2803189158439636,1.8168423175811768,0.9413477778434753,-0.9755989909172058,0.6610288619995117,-0.8412432670593262
68,success,0.2996490001678467,1.8105294704437256,0.9318350553512573,-0.9733108878135681,0.6321860551834106,-0.8372185230255127
69,success,0.5277316570281982,1.680307149887085,0.9557066559791565,-0.9799399375915527,0.42797502875328064,-0.700367271900177
70,success,0.3837777376174927,1.5968223810195923,0.7462682127952576,-0.8912126421928406,0.3624904751777649,-0.7056097388267517
71,success,0.38771528005599976,1.5792665481567383,0.736474871635437,-0.8869681358337402,0.34875959157943726,-0.6922983527183533
72,success,0.5163352489471436,1.6885007619857788,0.9555434584617615,-0.9799586534500122,0.4392082393169403,-0.7085421085357666
73,success,0.5735470056533813,1.6588761806488037,0.9446570873260498,-0.976223886013031,0.37111005187034607,-0.6826522946357727
74,success,0.38275647163391113,1.7434314489364624,0.9311451315879822,-0.9706990718841553,0.548388659954071,-0.7727323770523071
75,success,0.49207478761672974,1.7037954330444336,0.9483698606491089,-0.9776071310043335,0.45629507303237915,-0.7261883020401001
76,success,0.509945273399353,1.6926953792572021,0.9548571109771729,-0.9797460436820984,0.4449118375778198,-0.7129493951797485
77,success,0.18067264556884766,1.870368242263794,0.9226827621459961,-0.9689617156982422,0.7420101165771484,-0.9014065861701965
78,success,0.5213170051574707,1.689385175704956,0.946103572845459,-0.9769061803817749,0.4247865676879883,-0.7124789953231812
79,success,0.3871462345123291,1.746643304824829,0.9168105721473694,-0.9661012291908264,0.5296643376350403,-0.7805420756340027
80,success,0.6194194555282593,1.5899991989135742,0.9044308662414551,-0.9613051414489746,0.2850113809108734,-0.6286939978599548
81,success,0.27913230657577515,1.8259942531585693,0.9496049284934998,-0.978934645652771,0.6704726219177246,-0.8470596075057983
82,success,0.2108822464942932,1.8408666849136353,0.927222490310669,-0.9708507061004639,0.7163402438163757,-0.8700159788131714
83,success,0.15851086378097534,1.799126386642456,0.8632310628890991,-0.945530354976654,0.7047201991081238,-0.8535960912704468
84,success,0.25773072242736816,1.8365182876586914,0.9470141530036926,-0.9782753586769104,0.6892834305763245,-0.8582428693771362
85,success,0.3060729503631592,1.8016018867492676,0.9324837923049927,-0.9729373455047607,0.6264108419418335,-0.8286646008491516
86,success,0.8452991247177124,1.4490368366241455,0.9351115226745605,-0.9726072549819946,0.08981238305568695,-0.4764295518398285
87,success,0.2718433141708374,1.8288259506225586,0.9432462453842163,-0.9770389199256897,0.6714029312133789,-0.8517870306968689
88,success,0.2972604036331177,1.8020306825637817,0.930604875087738,-0.9718921780586243,0.6333444714546204,-0.8301385045051575
89,success,0.8493395447731018,1.446420431137085,0.934077799320221,-0.9722083806991577,0.08473826944828033,-0.474212110042572
90,success,0.3908096253871918,1.5913509130477905,0.7475165724754333,-0.8921782374382019,0.3567069470882416,-0.6991726756095886
91,success,0.23796769976615906,1.6596758365631104,0.7251877784729004,-0.8963128328323364,0.48722007870674133,-0.7633629441261292
92,success,0.3768877387046814,1.7057685852050781,0.8924964666366577,-0.9554656147956848,0.5156087279319763,-0.7503030300140381
93,success,0.5871009826660156,1.6039869785308838,0.9019384384155273,-0.960258960723877,0.3148374557495117,-0.6437280774116516
94,success,0.5797945857048035,1.652902364730835,0.9494787454605103,-0.9778048992156982,0.3696841597557068,-0.6750974059104919
95,success,0.3655719757080078,1.6803473234176636,0.8650747537612915,-0.9444604516029358,0.4995027780532837,-0.7358868718147278
96,success,0.546667218208313,1.6786973476409912,0.9466829895973206,-0.9771499037742615,0.40001577138900757,-0.7015474438667297
97,success,0.38047122955322266,1.6472458839416504,0.8368778228759766,-0.9334554672241211,0.4564065933227539,-0.7137904167175293
98,success,0.29808205366134644,1.8058302402496338,0.936708390712738,-0.9741742014884949,0.6386263370513916,-0.8316559791564941
99,success,0.38836777210235596,1.7411969900131226,0.907024621963501,-0.9626585245132446,0.518656849861145,-0.7785384654998779
100,success,0.3526386618614197,1.7109547853469849,0.850684642791748,-0.940626323223114,0.49804598093032837,-0.7703284621238708
101,success,0.10806238651275635,1.8840253353118896,0.9037206768989563,-0.9623317122459412,0.7956582903862,-0.9216936826705933
102,success,0.2648293972015381,1.825179100036621,0.9423051476478577,-0.9761937260627747,0.6774757504463196,-0.8489853143692017
103,success,0.2133493423461914,1.6738460063934326,0.7189871072769165,-0.8941985964775085,0.5056377649307251,-0.7796474099159241
104,success,0.19060653448104858,1.8253984451293945,0.9023107886314392,-0.9612005949020386,0.7117042541503906,-0.864197850227356
105,success,0.5217476487159729,1.6833397150039673,0.9555507898330688,-0.9798635244369507,0.43380314111709595,-0.7034761905670166
106,success,0.3833538889884949,1.6939959526062012,0.8802151083946228,-0.9509626030921936,0.49686121940612793,-0.7430333495140076
107,success,0.5771640539169312,1.654414415359497,0.9491072297096252,-0.9776715636253357,0.3719431459903717,-0.6767429113388062
108,success,0.3101082444190979,1.8077412843704224,0.943854570388794,-0.9768773317337036,0.633746325969696,-0.8308639526367188
109,success,0.3069509267807007,1.8116579055786133,0.9449912309646606,-0.9773927330970764,0.63804030418396,-0.8342651128768921
110,success,0.3077017068862915,1.8116062879562378,0.9432495832443237,-0.9768911004066467,0.6355478763580322,-0.8347151875495911
111,success,0.40364891290664673,1.7791388034820557,0.9188565611839294,-0.9695814251899719,0.5152076482772827,-0.809557318687439
112,success,0.26267993450164795,1.833742618560791,0.9494978785514832,-0.9789423942565918,0.6868179440498352,-0.8548001646995544
113,success,0.3992367386817932,1.742044448852539,0.9150862693786621,-0.9655047655105591,0.5158495306968689,-0.7765397429466248
114,success,0.5236624479293823,1.6844230890274048,0.9430340528488159,-0.9757073521614075,0.4193715751171112,-0.7087157368659973
115,success,0.2647234797477722,1.832780361175537,0.9513349533081055,-0.9794504046440125,0.6866114735603333,-0.8533298969268799
116,success,0.28846293687820435,1.821669340133667,0.9468898177146912,-0.978171706199646,0.6584268808364868,-0.843497633934021
117,success,0.3987787663936615,1.589296579360962,0.7489962577819824,-0.8925874829292297,0.3502174913883209,-0.696709156036377
118,success,0.542959451675415,1.6661450862884521,0.9346251487731934,-0.9725943207740784,0.3916657269001007,-0.693550705909729
119,success,0.33686530590057373,1.810579538345337,0.9349297881126404,-0.9731776714324951,0.5980644822120667,-0.8374018669128418
120,success,0.38122087717056274,1.7507964372634888,0.921603798866272,-0.9677000045776367,0.5403829216957092,-0.783096432685852
121,success,0.2587395906448364,1.8347156047821045,0.9530788064002991,-0.9798200130462646,0.6943392157554626,-0.8548955321311951
122,success,0.281433641910553,1.826374888420105,0.945458173751831,-0.9778223037719727,0.6640245318412781,-0.8485525846481323
123,success,0.004626870155334473,1.9096715450286865,0.8903288841247559,-0.9559851884841919,0.8857020139694214,-0.9536862969398499
124,success,0.48004016280174255,1.6643507480621338,0.8700628876686096,-0.9471296668052673,0.39002272486686707,-0.7172211408615112
125,success,0.3103497624397278,1.826717734336853,0.9355069994926453,-0.9734547138214111,0.6251572370529175,-0.8532630205154419
126,success,1.0954461097717285,1.2169194221496582,0.9323199391365051,-0.9686636924743652,-0.16312621533870697,-0.24825578927993774
127,success,0.31218135356903076,1.807671308517456,0.9390665888786316,-0.9753515124320984,0.6268852353096008,-0.8323197364807129
128,success,0.5249442458152771,1.5689475536346436,0.8186533451080322,-0.9237618446350098,0.2937090992927551,-0.6451857089996338
129,success,0.5828124284744263,1.6539645195007324,0.9469622373580933,-0.9770258665084839,0.3641497790813446,-0.6769386529922485
130,success,0.5200756788253784,1.6910285949707031,0.9401331543922424,-0.9749820232391357,0.4200575053691864,-0.7160465121269226
131,success,0.32546550035476685,1.8026008605957031,0.9427662491798401,-0.976669430732727,0.6173007488250732,-0.8259313702583313
132,success,0.5369373559951782,1.6738076210021973,0.9399244785308838,-0.9745502471923828,0.40298712253570557,-0.6992573142051697
133,success,0.5874006748199463,1.6515451669692993,0.9454548954963684,-0.9764895439147949,0.35805419087409973,-0.6750556230545044
134,success,0.2543926239013672,1.82466459274292,0.9250863194465637,-0.9704346656799316,0.6706936955451965,-0.8542299866676331
135,success,0.27029919624328613,1.8238680362701416,0.9419841766357422,-0.9761956334114075,0.671684980392456,-0.8476723432540894
136,success,0.5318329334259033,1.685293197631836,0.909917414188385,-0.9622389674186707,0.3780844509601593,-0.7230542302131653
137,success,0.25540614128112793,1.8349674940109253,0.9446122646331787,-0.9773691892623901,0.6892061233520508,-0.8575983047485352
138,success,0.5094518661499023,1.6916974782943726,0.9556132555007935,-0.9799481630325317,0.4461613893508911,-0.7117493152618408
139,success,0.26816487312316895,1.7106690406799316,0.7897884845733643,-0.9221351742744446,0.5216236114501953,-0.7885339260101318
140,success,0.3836390972137451,1.7413172721862793,0.9267798662185669,-0.9690753817558289,0.5431407690048218,-0.7722419500350952
141,success,0.3173789978027344,1.798651933670044,0.9366059303283691,-0.9742743372917175,0.6192269325256348,-0.8243775367736816
142,success,0.3224365711212158,1.7921695709228516,0.9352348446846008,-0.9733940362930298,0.612798273563385,-0.8187755942344666
143,success,0.5497126579284668,1.673216700553894,0.9495826363563538,-0.9779927730560303,0.39986997842788696,-0.6952239274978638
144,success,0.29552584886550903,1.817318320274353,0.9455906748771667,-0.9776272177696228,0.6500648260116577,-0.8396911025047302
145,success,1.0799355506896973,1.237356424331665,0.9255760908126831,-0.9660868048667908,-0.15435940027236938,-0.27126961946487427
146,success,0.5451750755310059,1.6762441396713257,0.9503862857818604,-0.9783351421356201,0.4052112400531769,-0.6979089975357056
147,success,0.2834261655807495,1.8229960203170776,0.9507418274879456,-0.9791828989982605,0.667315661907196,-0.8438131213188171
148,success,0.2885454297065735,1.8141698837280273,0.9358425140380859,-0.9742836356163025,0.6472970843315125,-0.8398862481117249
149,success,0.5176081657409668,1.6898037195205688,0.9542677998542786,-0.9796102643013,0.43665966391563416,-0.7101934552192688
150,success,0.2701423168182373,1.8293654918670654,0.9523665904998779,-0.9796440601348877,0.6822242736816406,-0.8497214913368225
151,success,0.2639930844306946,1.8334875106811523,0.9485194087028503,-0.9786868691444397,0.6845263242721558,-0.8548006415367126
152,success,0.39939945936203003,1.7410147190093994,0.924113929271698,-0.9684327244758606,0.524714469909668,-0.772581934928894
153,success,0.37777721881866455,1.7406694889068604,0.9260420203208923,-0.968698263168335,0.5482648015022278,-0.7719712257385254
154,success,0.5227581262588501,1.6808706521987915,0.9557816386222839,-0.9798781275749207,0.4330235421657562,-0.7009925246238708
155,success,0.5724437236785889,1.6616530418395996,0.9413007497787476,-0.9751418232917786,0.3688570261001587,-0.6865111589431763
