level,candidate,accepted,base_outcome,base_min,mirror_outcome,mirror_min
1,1,1,success,0.31938615441322327,success,0.3161141276359558
2,1,0,timeout,0.30592459440231323,timeout,0.30898964405059814
2,2,1,success,0.30435624718666077,success,0.3101694583892822
3,1,1,success,0.32593852281570435,success,0.32367438077926636
