scene,pair,mirror_side,episode,step,obs_00,obs_01,obs_02,obs_03,obs_04,obs_05,obs_06,obs_07,obs_08,obs_09,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,residual_linear,residual_angular,cmd_linear,cmd_angular,gate_active,gate_switches_cumulative,residual_angular_sign_switches_cumulative,cmd_angular_sign_switches_cumulative,min_lidar,robot_x,robot_y,robot_yaw_deg,goal_distance,goal_relative_angle_deg,entered_040,terminal_reason
recovery_pair01_positive,1,positive,1,236,0.466518372297287,0.5154977440834045,0.6672406196594238,1.0,1.0,1.0,1.0,1.0,0.2362280935049057,1.0,0.7995249629020691,-0.9184427261352539,0.037305548787117004,0.7201879620552063,0.6937789916992188,0.2559444308280945,0.7878074645996094,-0.9192150831222534,0.08349349349737167,0.6000000238418579,0,38,0,37,0.8267983198165894,2.309652798442113,-0.10706037328739386,102.0,0.389565248194104,40.64,1,running
recovery_pair01_positive,1,positive,1,237,0.47368302941322327,0.5539223551750183,0.7690569758415222,1.0,1.0,1.0,1.0,0.26409947872161865,0.24306289851665497,1.0,0.8065500259399414,-0.9218456149101257,0.03624529391527176,0.6513041257858276,0.7588167786598206,0.2257777750492096,0.7939485311508179,-0.9127289652824402,0.08159420639276505,0.567441463470459,0,38,0,37,0.8468050956726074,2.3056594884058126,-0.0921469921943783,108.0,0.37745975039703966,36.07,1,running
recovery_pair01_positive,1,positive,1,238,0.4907810389995575,0.6006694436073303,0.9061588644981384,1.0,1.0,1.0,1.0,0.2419443130493164,0.2531140446662903,1.0,0.7878074645996094,-0.9192150831222534,0.03511899709701538,0.5887731909751892,0.8082982897758484,0.20038889348506927,0.8057969212532043,-0.9182242751121521,0.07957662642002106,0.5036321878433228,0,38,0,37,0.8164779543876648,2.300176324590774,-0.07802923400276168,114.0,0.36482874030688817,31.36,1,running
recovery_pair01_positive,1,positive,1,239,0.5148912072181702,0.6567890048027039,1.0,1.0,1.0,1.0,1.0,0.23327942192554474,1.0,1.0,0.7939485311508179,-0.9127289652824402,0.03394380584359169,0.5204136371612549,0.8539143204689026,0.1742222160100937,0.8487403988838196,-0.9360901713371277,0.07747145742177963,0.4378682076931,0,38,0,37,0.7902059555053711,2.293885778823371,-0.06565168058475943,120.0,0.35268010674650724,26.44,1,running
recovery_pair01_positive,1,positive,1,240,0.5403482913970947,0.7432745695114136,1.0,1.0,1.0,1.0,1.0,0.22577312588691711,1.0,1.0,0.8057969212532043,-0.9182242751121521,0.032813478261232376,0.4452604055404663,0.895401120185852,0.1468888819217682,0.8526297807693481,-0.9377941489219666,0.11807817220687866,-0.28133824467658997,1,39,0,38,0.7902059555053711,2.285798917842549,-0.052723812395855135,123.0,0.33885305321436493,24.5,1,running
recovery_pair01_positive,1,positive,1,241,0.5602573752403259,0.7776581645011902,1.0,1.0,1.0,1.0,0.28291431069374084,0.22940747439861298,1.0,1.0,0.8487403988838196,-0.9360901713371277,0.031527020037174225,0.4146932363510132,0.9099612832069397,0.13611111044883728,0.8764621019363403,-0.9479420185089111,0.11696527898311615,-0.2843826115131378,1,39,0,38,0.7776978611946106,2.2735754553796492,-0.032891338335133975,120.0,0.3180509752385477,29.33,1,running
recovery_pair01_positive,1,positive,1,242,0.5501431822776794,0.7320134043693542,1.0,1.0,1.0,1.0,1.0,0.22219939529895782,1.0,1.0,0.8526297807693481,-0.9377941489219666,0.02959158457815647,0.48983898758888245,0.8718129396438599,0.16294445097446442,0.8576722145080566,-0.9397183060646057,0.1125587746500969,-0.2819155156612396,1,39,0,38,0.7622809410095215,2.2624977168094453,-0.012447194568492807,117.0,0.29833423593468245,34.63,1,running
recovery_pair01_positive,1,positive,1,243,0.5348647236824036,0.6984580159187317,1.0,1.0,1.0,1.0,1.0,0.21779455244541168,0.2847588062286377,1.0,0.8764621019363403,-0.9479420185089111,0.027757124975323677,0.5682746767997742,0.8228389620780945,0.1923888921737671,0.8305023312568665,-0.9285092353820801,0.10791415721178055,-0.278552770614624,1,39,0,38,0.7622809410095215,2.2530296459469943,0.007648717228927362,114.0,0.280763572946578,40.32,1,running
recovery_pair01_positive,1,positive,1,244,0.524071991443634,0.6636204719543457,1.0,1.0,1.0,1.0,1.0,0.2218499332666397,0.23361945152282715,1.0,0.8576722145080566,-0.9397183060646057,0.02612234279513359,0.647055983543396,0.7624425292015076,0.2240000069141388,0.8314723968505859,-0.928821861743927,0.10503421723842621,-0.2786465585231781,1,39,0,38,0.7554259300231934,2.2449058281310084,0.027590834616721738,111.0,0.26519412282651433,46.44,1,running
recovery_pair01_positive,1,positive,1,245,0.5168393850326538,0.6407152414321899,0.9795776009559631,1.0,1.0,1.0,1.0,0.22723691165447235,0.21583597362041473,1.0,0.8305023312568665,-0.9285092353820801,0.024673746898770332,0.7246531248092651,0.6891137957572937,0.257999986410141,0.8347224593162537,-0.9300311803817749,0.10260181128978729,-0.2790093719959259,1,39,0,38,0.7347432971000671,2.238046240443522,0.04748573788173683,107.0,0.25172017821289966,54.03,1,running
recovery_pair01_positive,1,positive,1,246,0.5074298977851868,0.6115490794181824,0.8994707465171814,1.0,1.0,1.0,1.0,0.25138059258461,0.20992664992809296,1.0,0.8314723968505859,-0.928821861743927,0.02342013083398342,0.8093246221542358,0.5873615741729736,0.30016666650772095,0.8366235494613647,-0.930439829826355,0.10045120120048523,-0.2791319489479065,1,39,0,38,0.7149926424026489,2.2324281146636773,0.06738885167080508,104.0,0.24053781139043354,61.08,1,running
recovery_pair01_positive,1,positive,1,247,0.49825984239578247,0.5845714211463928,0.8240418434143066,1.0,1.0,1.0,1.0,1.0,0.20428360998630524,1.0,0.8347224593162537,-0.9300311803817749,0.022379722446203232,0.8752957582473755,0.48358795046806335,0.33933332562446594,0.8368759751319885,-0.9372178316116333,0.0986001044511795,-0.28116536140441895,1,39,0,38,0.7095406651496887,2.2280464504686806,0.08716010514818878,101.0,0.23191105561004896,68.53,1,running
recovery_pair01_positive,1,positive,1,248,0.4992408752441406,0.5781852006912231,0.7725196480751038,1.0,1.0,1.0,1.0,1.0,0.20272590219974518,0.2388913333415985,0.8366235494613647,-0.930439829826355,0.02157708629965782,0.9306093454360962,0.3660140037536621,0.3807222247123718,0.8625079393386841,-0.9429581761360168,0.0984439104795456,-0.28288745880126953,1,39,0,38,0.7095406651496887,2.224795849869504,0.10689848397558646,98.0,0.22591137710194864,76.3,1,running
recovery_pair01_positive,1,positive,1,249,0.4934755861759186,0.5552356839179993,0.7266756892204285,1.0,1.0,1.0,1.0,1.0,0.2045242041349411,0.21371780335903168,0.8368759751319885,-0.9372178316116333,0.021018873900175095,0.9715490937232971,0.23683814704418182,0.4238888919353485,0.867526113986969,-0.9440752267837524,0.04337630793452263,-0.28322258591651917,1,39,0,38,0.7124057412147522,2.223279426555046,0.11989855330958561,95.0,0.2234781594461371,82.58,1,running
