pair,episode,step,positive_linear,negative_linear,linear_error,positive_angular,negative_angular,angular_error,positive_cmd_linear,negative_cmd_linear,positive_cmd_angular,negative_cmd_angular
5,1,1,0.8894609808921814,0.8983338475227356,0.0088728666305542,-0.9539949893951416,-0.9583404064178467,1.9123353958129883,0.13447305560112,0.13491669297218323,-0.2861984968185425,-0.28750213980674744
5,1,2,0.8897875547409058,0.8999335765838623,0.010146021842956543,-0.9540561437606812,-0.9590334892272949,1.913089632987976,0.13448938727378845,0.1349966824054718,-0.2862168550491333,-0.2877100706100464
5,1,3,0.9315786361694336,0.9468833208084106,0.01530468463897705,-0.9702408313751221,-0.9769972562789917,1.9472380876541138,0.13657893240451813,0.13734416663646698,-0.2910722494125366,-0.29309919476509094
5,1,4,0.9329793453216553,0.9389208555221558,0.005941510200500488,-0.9708855152130127,-0.9749459624290466,1.9458314776420593,0.1366489678621292,0.13694605231285095,-0.29126566648483276,-0.2924838066101074
5,1,5,0.9347590208053589,0.940979540348053,0.006220519542694092,-0.9716396927833557,-0.9757209420204163,1.947360634803772,0.13673795759677887,0.13704898953437805,-0.29149192571640015,-0.29271629452705383
5,1,6,0.9462620615959167,0.942509114742279,0.0037529468536376953,-0.9764182567596436,-0.9763290882110596,1.9527473449707031,0.137313112616539,0.13712546229362488,-0.29292547702789307,-0.2928987443447113
5,1,7,0.9476385712623596,0.9460725784301758,0.0015659928321838379,-0.9770212173461914,-0.9748783111572266,1.951899528503418,0.13738194108009338,0.13730363547801971,-0.2931063771247864,-0.2924635112285614
5,1,8,0.948986828327179,0.9475009441375732,0.0014858841896057129,-0.9775992035865784,-0.9754081964492798,1.9530074000358582,0.13744935393333435,0.13737505674362183,-0.293279767036438,-0.29262247681617737
5,1,9,0.9408214688301086,0.9492345452308655,0.008413076400756836,-0.9754906892776489,-0.9761276841163635,1.9516183733940125,0.13704107701778412,0.13746173679828644,-0.29264721274375916,-0.29283830523490906
5,1,10,0.9439558386802673,0.9328700304031372,0.011085808277130127,-0.9737085700035095,-0.971555769443512,1.9452643394470215,0.13719779253005981,0.13664349913597107,-0.2921125888824463,-0.29146674275398254
5,1,11,0.9455553293228149,0.9176855087280273,0.027869820594787598,-0.9742790460586548,-0.9661069512367249,1.9403859972953796,0.1372777670621872,0.13588428497314453,-0.29228371381759644,-0.28983208537101746
5,1,12,0.9474217295646667,0.9204806089401245,0.026941120624542236,-0.9750715494155884,-0.9671049118041992,1.9421764612197876,0.13737109303474426,0.13602402806282043,-0.29252147674560547,-0.29013147950172424
5,1,13,0.9489338397979736,0.922417402267456,0.026516437530517578,-0.9756903052330017,-0.9677435159683228,1.9434338212013245,0.13744670152664185,0.13612087070941925,-0.2927071154117584,-0.29032307863235474
5,1,14,0.9374110698699951,0.9334898591041565,0.003921210765838623,-0.9709424376487732,-0.9700866937637329,1.941029131412506,0.13687056303024292,0.13667449355125427,-0.2912827432155609,-0.2910260260105133
5,1,15,0.9388543367385864,0.9256052374839783,0.013249099254608154,-0.9715597033500671,-0.9659920930862427,1.9375517964363098,0.13694271445274353,0.13628026843070984,-0.29146793484687805,-0.2897976338863373
