scene,pair,mirror_side,episode,step,residual_linear,residual_angular,cmd_linear,cmd_angular,gate_active,min_lidar,robot_x,robot_y,robot_yaw_deg,obs_00,obs_01,obs_02,obs_03,obs_04,obs_05,obs_06,obs_07,obs_08,obs_09,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15
mirror_pair01_positive,1,positive,1,11,0.9402403831481934,-0.975371241569519,0.13701201975345612,-0.29261139035224915,1,0.38680124282836914,0.25311830727781576,-0.007741280358076942,343.0,1.0,1.0,1.0,1.0,1.0,0.13229121267795563,0.12061918526887894,1.0,1.0,1.0,0.9371094703674316,-0.9740762114524841,0.16490963101387024,0.3013715445995331,0.9535067677497864,0.09744444489479065
mirror_pair01_positive,1,positive,1,12,0.943230926990509,-0.9735363721847534,0.13716155290603638,-0.292060911655426,1,0.3660559356212616,0.2839339774628475,-0.01846999286852901,339.0,1.0,1.0,1.0,1.0,1.0,0.13495224714279175,0.11051464080810547,0.13932378590106964,1.0,1.0,0.9382326602935791,-0.9745422005653381,0.16288651525974274,0.35494381189346313,0.9348876476287842,0.11550000309944153
mirror_pair01_positive,1,positive,1,13,0.9452258944511414,-0.9743496775627136,0.137261301279068,-0.2923049032688141,1,0.36077433824539185,0.30543779116452185,-0.027394978851861006,336.0,1.0,1.0,1.0,1.0,1.0,0.1337827742099762,0.10458741337060928,0.11820648610591888,1.0,1.0,0.9402403831481934,-0.975371241569519,0.16009601950645447,0.4259372055530548,0.9047527313232422,0.1400555521249771
mirror_pair01_positive,1,positive,1,14,0.946407675743103,-0.9748737215995789,0.1373203843832016,-0.29246214032173157,1,0.33128827810287476,0.3348839206358062,-0.04168727407588124,332.0,1.0,1.0,1.0,1.0,1.0,0.14725515246391296,0.10307838022708893,0.10723496973514557,1.0,1.0,0.943230926990509,-0.9735363721847534,0.15816472470760345,0.47823208570480347,0.8782334923744202,0.15872222185134888
mirror_pair01_positive,1,positive,1,15,0.9115874767303467,-0.9637988805770874,0.13557937741279602,-0.28913968801498413,1,0.29173651337623596,0.35875941667888245,-0.05522009750419592,329.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0957304984331131,0.09465379267930984,0.13322818279266357,1.0,0.9452258944511414,-0.9743496775627136,0.15554726123809814,0.5465404987335205,0.8374326825141907,0.18405555188655853
mirror_pair01_positive,1,positive,1,16,0.913329005241394,-0.9643891453742981,0.13566645979881287,-0.28931674361228943,1,0.2783908545970917,0.37807731641257303,-0.06759191897042863,326.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09870605915784836,0.08335328847169876,0.10033482313156128,1.0,0.946407675743103,-0.9748737215995789,0.15345436334609985,0.597345232963562,0.8019841909408569,0.20377777516841888
mirror_pair01_positive,1,positive,1,17,0.9155111312866211,-0.9652154445648193,0.13577556610107422,-0.2895646393299103,1,0.25696662068367004,0.40428694807711874,-0.08662987535557082,322.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09443265199661255,0.07954024523496628,0.09275346994400024,1.0,0.9115874767303467,-0.9637988805770874,0.1517854779958725,0.6451910138130188,0.7640212774276733,0.22322222590446472
mirror_pair01_positive,1,positive,1,18,0.9277703166007996,-0.9679445624351501,0.13638852536678314,-0.29038336873054504,1,0.24989329278469086,0.42208951074040996,-0.10117862191828486,319.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10063908994197845,0.07341903448104858,0.08057050406932831,0.12707437574863434,0.913329005241394,-0.9643891453742981,0.14956533908843994,0.7064894437789917,0.7077235579490662,0.24972222745418549
mirror_pair01_positive,1,positive,1,19,0.9179325699806213,-0.9629722833633423,0.13589663803577423,-0.2888917028903961,1,0.2399931401014328,0.44589189199187784,-0.1230041243211574,315.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0791703537106514,0.07139808684587479,0.09417834132909775,0.9155111312866211,-0.9652154445648193,0.1480930596590042,0.7495336532592773,0.6619662046432495,0.26972222328186035
mirror_pair01_positive,1,positive,1,20,0.9217693209648132,-0.9644072651863098,0.13608847558498383,-0.2893221974372864,1,0.20949691534042358,0.46503071062596746,-0.14303134202350543,312.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07670459896326065,0.06856946647167206,0.0724567174911499,0.9277703166007996,-0.9679445624351501,0.14618262648582458,0.8033374547958374,0.5955240726470947,0.29694443941116333
mirror_pair01_positive,1,positive,2,1,0.8875342011451721,-0.9534388780593872,0.13437671959400177,-0.28603166341781616,1,0.6688809990882874,0.0070712774607945795,0.0013243726157188258,11.0,1.0,1.0,1.0,1.0,0.19147123396396637,0.20466630160808563,1.0,1.0,1.0,1.0,0.0,0.0,0.18622605502605438,-0.12048336863517761,0.9927153587341309,-0.03844444453716278
mirror_pair01_positive,1,positive,2,2,0.8870033621788025,-0.9531093239784241,0.13435018062591553,-0.2859328091144562,1,0.6424753665924072,0.030521194560658334,0.005966876562727479,10.0,1.0,1.0,1.0,1.0,0.1911088526248932,0.20168353617191315,1.0,1.0,1.0,1.0,0.0,0.0,0.18568797409534454,-0.13813601434230804,0.990413248538971,-0.044111110270023346
mirror_pair01_positive,1,positive,2,3,0.9290125370025635,-0.9692175984382629,0.1364506334066391,-0.29076528549194336,1,0.6116406917572021,0.058071333411486896,0.0100375138143268,7.0,1.0,1.0,1.0,1.0,0.18356439471244812,0.18965491652488708,1.0,1.0,1.0,1.0,0.8875342011451721,-0.9534388780593872,0.18348650634288788,-0.12256224453449249,0.9924608469009399,-0.03911111131310463
mirror_pair01_positive,1,positive,2,4,0.9305065274238586,-0.9698933959007263,0.13652533292770386,-0.29096803069114685,1,0.5533435344696045,0.0856126372410502,0.012508429700745506,3.0,1.0,1.0,1.0,1.0,0.17843517661094666,0.17475448548793793,1.0,1.0,1.0,1.0,0.8870033621788025,-0.9531093239784241,0.1809072345495224,-0.07167153060436249,0.997428297996521,-0.022833332419395447
mirror_pair01_positive,1,positive,2,5,0.9327648282051086,-0.9708787798881531,0.13663825392723083,-0.2912636399269104,1,0.5366721749305725,0.11335285771509777,0.013398553676037652,0.0,1.0,1.0,1.0,1.0,0.17957279086112976,0.15809814631938934,1.0,1.0,1.0,1.0,0.9290125370025635,-0.9692175984382629,0.1783364862203598,-0.002617990830913186,0.9999966025352478,-0.0008333333535119891
mirror_pair01_positive,1,positive,2,6,0.9340593814849854,-0.9714934825897217,0.13670296967029572,-0.29144805669784546,1,0.5013144612312317,0.14124305488646652,0.012651668964719602,357.0,1.0,1.0,1.0,1.0,0.18263399600982666,0.15333490073680878,1.0,1.0,1.0,1.0,0.9305065274238586,-0.9698933959007263,0.1757545918226242,0.050070006400346756,0.9987457394599915,0.01594444364309311
mirror_pair01_positive,1,positive,2,7,0.9449637532234192,-0.9760330319404602,0.1372481882572174,-0.29280993342399597,1,0.48414522409439087,0.1690006281822173,0.01028248285318078,353.0,1.0,1.0,1.0,1.0,0.20764826238155365,0.14323270320892334,0.17460159957408905,1.0,1.0,1.0,0.9327648282051086,-0.9708787798881531,0.17316654324531555,0.10331334918737411,0.9946488738059998,0.0329444445669651
mirror_pair01_positive,1,positive,2,8,0.9364864230155945,-0.9738242626190186,0.1368243247270584,-0.29214727878570557,1,0.4656420350074768,0.19660212832552848,0.006348045544123915,350.0,1.0,1.0,1.0,1.0,1.0,0.1383272111415863,0.15531685948371887,1.0,1.0,1.0,0.9340593814849854,-0.9714934825897217,0.17059899866580963,0.1745075136423111,0.9846558570861816,0.05583333224058151
mirror_pair01_positive,1,positive,2,9,0.9382625818252563,-0.974542498588562,0.13691313564777374,-0.2923627495765686,1,0.4402105510234833,0.2237090986579781,0.0008190346520422777,347.0,1.0,1.0,1.0,1.0,1.0,0.13304057717323303,0.13490761816501617,1.0,1.0,1.0,0.9449637532234192,-0.9760330319404602,0.16805483400821686,0.22869069874286652,0.9734991192817688,0.0734444409608841
mirror_pair01_positive,1,positive,2,10,0.9397447109222412,-0.9751615524291992,0.13698723912239075,-0.2925484776496887,1,0.39517146348953247,0.25063927694271965,-0.00642702635378003,343.0,1.0,1.0,1.0,1.0,1.0,0.13042576611042023,0.12577444314956665,1.0,1.0,1.0,0.9364864230155945,-0.9738242626190186,0.16556701064109802,0.28317850828170776,0.9590672254562378,0.09138888865709305
mirror_pair01_positive,1,positive,2,11,0.9433156847953796,-0.9735761880874634,0.13716578483581543,-0.2920728623867035,1,0.3950391411781311,0.27708240288077546,-0.015222509629808745,340.0,1.0,1.0,1.0,1.0,1.0,0.12797316908836365,0.11290613561868668,0.14520759880542755,1.0,1.0,0.9382625818252563,-0.974542498588562,0.16310863196849823,0.35412782430648804,0.9351970553398132,0.11522222310304642
mirror_pair01_positive,1,positive,2,12,0.9447097778320312,-0.97413170337677,0.13723549246788025,-0.2922395169734955,1,0.3674386739730835,0.30311513051973343,-0.025588417082316985,337.0,1.0,1.0,1.0,1.0,1.0,0.1312709003686905,0.11286832392215729,0.12299825251102448,1.0,1.0,0.9397447109222412,-0.9751615524291992,0.160709947347641,0.408171147108078,0.9129054546356201,0.13383333384990692
mirror_pair01_positive,1,positive,2,13,0.945967435836792,-0.9746859073638916,0.1372983753681183,-0.29240578413009644,1,0.32989123463630676,0.32847575481435565,-0.03745276990925546,333.0,1.0,1.0,1.0,1.0,1.0,0.14490796625614166,0.10498248040676117,0.1110554113984108,1.0,1.0,0.9433156847953796,-0.9735761880874634,0.158366858959198,0.4617486000061035,0.8870108127593994,0.1527777761220932
mirror_pair01_positive,1,positive,2,14,0.9111645817756653,-0.9636480808258057,0.13555823266506195,-0.2890944480895996,1,0.29921290278434753,0.3525836449274342,-0.050550496109641525,330.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09425463527441025,0.09682293981313705,0.1495319902896881,1.0,0.9447097778320312,-0.97413170337677,0.15610647201538086,0.5294751524925232,0.8483254313468933,0.1776111125946045
mirror_pair01_positive,1,positive,2,15,0.9127238988876343,-0.9641749262809753,0.13563619554042816,-0.28925248980522156,1,0.28565648198127747,0.3760312369766852,-0.06512421374793494,326.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09847939759492874,0.08548939973115921,0.11105376482009888,1.0,0.945967435836792,-0.9746859073638916,0.153983935713768,0.5807029604911804,0.8141155242919922,0.19722221791744232
mirror_pair01_positive,1,positive,2,16,0.9155309796333313,-0.9652355909347534,0.135776549577713,-0.289570689201355,1,0.28513264656066895,0.3987077210682879,-0.08112671287758498,323.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09356338530778885,0.08161614090204239,0.09571285545825958,1.0,0.9111645817756653,-0.9636480808258057,0.15195022523403168,0.6438565850257874,0.7651461958885193,0.2226666659116745
mirror_pair01_positive,1,positive,2,17,0.9177929759025574,-0.9660477042198181,0.13588964939117432,-0.2898143231868744,1,0.23442251980304718,0.42032501262539484,-0.09831366766887818,320.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09865691512823105,0.08146647363901138,0.08164674788713455,1.0,0.9127238988876343,-0.9641749262809753,0.15001974999904633,0.6912608742713928,0.722605288028717,0.24294444918632507
mirror_pair01_positive,1,positive,2,18,0.9290627837181091,-0.9683446884155273,0.13645315170288086,-0.2905034124851227,1,0.23442251980304718,0.44088812012843526,-0.11667870831391607,316.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12856018543243408,0.07614409923553467,0.06697786599397659,0.09058640897274017,0.9155309796333313,-0.9652355909347534,0.14822106063365936,0.7365694642066956,0.6763619184494019,0.2635555565357208
mirror_pair01_positive,1,positive,2,19,0.920859694480896,-0.964043915271759,0.136042982339859,-0.2892131805419922,1,0.22487139701843262,0.4604320917644661,-0.13638357196578035,313.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07392597198486328,0.0707576796412468,0.07247195392847061,0.9177929759025574,-0.9660477042198181,0.14655806124210358,0.7901549935340881,0.6129070520401001,0.28999999165534973
mirror_pair01_positive,1,positive,2,20,0.923653244972229,-0.9651616811752319,0.13618266582489014,-0.28954851627349854,1,0.21572533249855042,0.47872399318867026,-0.15711571269711366,310.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08533839136362076,0.06632105261087418,0.06424897164106369,0.9290627837181091,-0.9683446884155273,0.145034521818161,0.8292326927185059,0.5589034557342529,0.31122222542762756
mirror_pair01_positive,1,positive,3,1,0.8877665400505066,-0.9534949064254761,0.13438832759857178,-0.2860484719276428,1,0.6505218148231506,0.007853506681605619,0.001410437403257149,10.0,1.0,1.0,1.0,1.0,0.1905607283115387,0.19943726062774658,1.0,1.0,1.0,1.0,0.0,0.0,0.1863681524991989,-0.12031010538339615,0.9927363395690918,-0.03838888928294182
mirror_pair01_positive,1,positive,3,2,0.887813925743103,-0.9534940123558044,0.1343906968832016,-0.28604820370674133,1,0.6423326134681702,0.02795821569638806,0.004324063353864932,7.0,1.0,1.0,1.0,1.0,0.18586337566375732,0.19999603927135468,1.0,1.0,1.0,1.0,0.0,0.0,0.18561486899852753,-0.12082988768815994,0.9926732182502747,-0.038555555045604706
mirror_pair01_positive,1,positive,3,3,0.9302433729171753,-0.9698612093925476,0.1365121752023697,-0.29095837473869324,1,0.6001640558242798,0.05456226886341214,0.006909142794000142,4.0,1.0,1.0,1.0,1.0,0.19419065117835999,0.18352361023426056,1.0,1.0,1.0,1.0,0.8877665400505066,-0.9534949064254761,0.18373258411884308,-0.06958236545324326,0.9975762367248535,-0.022166667506098747
mirror_pair01_positive,1,positive,3,4,0.931694507598877,-0.9705212116241455,0.13658472895622253,-0.2911563813686371,1,0.5678188800811768,0.08240943387472528,0.008026838441322959,1.0,1.0,1.0,1.0,1.0,0.1919705867767334,0.17147544026374817,1.0,1.0,1.0,1.0,0.887813925743103,-0.9534940123558044,0.18124815821647644,-0.01797592267394066,0.9998384118080139,-0.00572222238406539
mirror_pair01_positive,1,positive,3,5,0.9334539771080017,-0.9712734818458557,0.136672705411911,-0.2913820445537567,1,0.5536982417106628,0.1102435579458037,0.00751535970998648,357.0,1.0,1.0,1.0,1.0,0.19211606681346893,0.16223396360874176,1.0,1.0,1.0,1.0,0.9302433729171753,-0.9698612093925476,0.17865535616874695,0.03455064073204994,0.9994029402732849,0.010999999940395355
mirror_pair01_positive,1,positive,3,6,0.9340171217918396,-0.9728526473045349,0.13670086860656738,-0.2918558120727539,1,0.5246546268463135,0.13796527448143878,0.0054466510827253165,354.0,1.0,1.0,1.0,1.0,1.0,0.1581995040178299,0.1906794160604477,1.0,1.0,1.0,0.931694507598877,-0.9705212116241455,0.17607173323631287,0.10522274672985077,0.9944486618041992,0.03355555608868599
mirror_pair01_positive,1,positive,3,7,0.9358763098716736,-0.9736136794090271,0.1367938220500946,-0.29208412766456604,1,0.48802581429481506,0.16556963483085912,0.0017708862408639362,351.0,1.0,1.0,1.0,1.0,1.0,0.14990131556987762,0.15878291428089142,1.0,1.0,1.0,0.9334539771080017,-0.9712734818458557,0.17350664734840393,0.15901969373226166,0.9872754216194153,0.050833333283662796
mirror_pair01_positive,1,positive,3,8,0.9375932216644287,-0.9743055701255798,0.13687966763973236,-0.29229167103767395,1,0.4768688976764679,0.19298919288038965,-0.0035590684992400164,347.0,1.0,1.0,1.0,1.0,1.0,0.13943594694137573,0.1474377065896988,1.0,1.0,1.0,0.9340171217918396,-0.9728526473045349,0.17096169292926788,0.2132009118795395,0.9770084023475647,0.06838888674974442
mirror_pair01_positive,1,positive,3,9,0.939592719078064,-0.9751389622688293,0.13697963953018188,-0.2925417125225067,1,0.44618701934814453,0.21995182102320762,-0.010453921316068697,344.0,1.0,1.0,1.0,1.0,1.0,0.13784043490886688,0.13624826073646545,1.0,1.0,1.0,0.9358763098716736,-0.9736136794090271,0.1684447079896927,0.2845173478126526,0.9586709141731262,0.09183333069086075
mirror_pair01_positive,1,positive,3,10,0.9427874088287354,-0.9734655022621155,0.13713937997817993,-0.2920396625995636,1,0.40637025237083435,0.24661347381066429,-0.018931769374761123,341.0,1.0,1.0,1.0,1.0,1.0,0.12959255278110504,0.12748201191425323,0.17328347265720367,1.0,1.0,0.9375932216644287,-0.9743055701255798,0.16598226130008698,0.3389021158218384,0.940821647644043,0.11005555838346481
mirror_pair01_positive,1,positive,3,11,0.9441299438476562,-0.9739566445350647,0.13720649480819702,-0.29218700528144836,1,0.3786757290363312,0.2725763866462784,-0.02890990829993505,337.0,1.0,1.0,1.0,1.0,1.0,0.14153023064136505,0.11610578745603561,0.13454589247703552,1.0,1.0,0.939592719078064,-0.9751389622688293,0.16356225311756134,0.3929791748523712,0.9195473790168762,0.1285555511713028
mirror_pair01_positive,1,positive,3,12,0.9457510709762573,-0.97465580701828,0.13728755712509155,-0.29239675402641296,1,0.3684787154197693,0.2978704506255348,-0.040459382141322595,334.0,1.0,1.0,1.0,1.0,1.0,0.15930591523647308,0.1081930622458458,0.11422772705554962,1.0,1.0,0.9427874088287354,-0.9734655022621155,0.16122372448444366,0.4622129797935486,0.8867689371109009,0.1529444456100464
mirror_pair01_positive,1,positive,3,13,0.9285625219345093,-0.9699001908302307,0.1364281326532364,-0.2909700572490692,1,0.33080628514289856,0.3224405215311387,-0.05344902947892472,330.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10527963191270828,0.10550929605960846,1.0,1.0,0.9441299438476562,-0.9739566445350647,0.158967524766922,0.5147388577461243,0.8573470115661621,0.17211110889911652
mirror_pair01_positive,1,positive,3,14,0.9130319952964783,-0.9643505215644836,0.1356516033411026,-0.289305180311203,1,0.31547263264656067,0.34619084353268453,-0.06783394561422304,327.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10512654483318329,0.0945160835981369,0.122672438621521,1.0,0.9457510709762573,-0.97465580701828,0.15680138766765594,0.5807029604911804,0.8141155242919922,0.19722221791744232
mirror_pair01_positive,1,positive,3,15,0.9152854681015015,-0.9651808738708496,0.13576427102088928,-0.28955426812171936,1,0.2992449700832367,0.36895277117077224,-0.08348099883277647,324.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10154136270284653,0.09013503789901733,0.10979513078927994,1.0,0.9285625219345093,-0.9699001908302307,0.1547376811504364,0.6302694082260132,0.7763765454292297,0.2170555591583252
mirror_pair01_positive,1,positive,3,16,0.9172350168228149,-0.9658767580986023,0.13586175441741943,-0.28976303339004517,1,0.2756623327732086,0.3905901543866828,-0.10029584023417382,320.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10667580366134644,0.08549856394529343,0.09124007076025009,1.0,0.9130319952964783,-0.9643505215644836,0.15279477834701538,0.6780313849449158,0.7350329160690308,0.23716667294502258
mirror_pair01_positive,1,positive,3,17,0.9290846586227417,-0.96845543384552,0.136454239487648,-0.29053664207458496,1,0.2705364227294922,0.4114818142358875,-0.11862903549792576,317.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1327463835477829,0.08267534524202347,0.07876066863536835,0.11732751131057739,0.9152854681015015,-0.9651808738708496,0.15098829567432404,0.7357425689697266,0.6772612929344177,0.2631666660308838
mirror_pair01_positive,1,positive,3,18,0.9201154708862305,-0.9638267755508423,0.13600577414035797,-0.2891480326652527,1,0.2563991844654083,0.43119509617539636,-0.13808610629819537,314.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0773673877120018,0.07729612290859222,0.0888635516166687,0.9172350168228149,-0.9658767580986023,0.14929209649562836,0.778462290763855,0.627691388130188,0.2840000092983246
mirror_pair01_positive,1,positive,3,19,0.922925591468811,-0.9649562239646912,0.13614627718925476,-0.2894868850708008,1,0.24765370786190033,0.4497818419660899,-0.15862856911579448,310.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08902501314878464,0.07325690984725952,0.0819217786192894,0.9290846586227417,-0.96845543384552,0.14774620532989502,0.8182500600814819,0.5748624205589294,0.30505555868148804
mirror_pair01_positive,1,positive,3,20,0.9261803030967712,-0.9662380218505859,0.13630902767181396,-0.2898714244365692,1,0.24765370786190033,0.4671661686625893,-0.1801976820917659,307.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09651712328195572,0.07075820118188858,0.07508579641580582,0.9201154708862305,-0.9638267755508423,0.14634975790977478,0.8639234304428101,0.5036231875419617,0.3319999873638153
mirror_pair01_negative,1,negative,1,1,0.8978520631790161,-0.9584931135177612,0.13489261269569397,-0.2875479459762573,1,0.6645904183387756,0.007176544738035113,-0.0013332621698450779,350.0,1.0,1.0,1.0,1.0,0.20294900238513947,0.18988297879695892,1.0,1.0,1.0,1.0,0.0,0.0,0.18629097938537598,0.13761742413043976,0.990485429763794,0.04394444450736046
mirror_pair01_negative,1,negative,1,2,0.8971794247627258,-0.958172082901001,0.13485898077487946,-0.2874516248703003,1,0.6273968815803528,0.03244095472983024,-0.006396272100024344,347.0,1.0,1.0,1.0,1.0,0.19965097308158875,0.1909209042787552,1.0,1.0,1.0,1.0,0.0,0.0,0.1856781542301178,0.12082988768815994,0.9926732182502747,0.038555555045604706
mirror_pair01_negative,1,negative,1,3,0.9364396333694458,-0.9728215932846069,0.13682198524475098,-0.29184648394584656,1,0.5892524123191833,0.05948120306355391,-0.01337684399619558,344.0,1.0,1.0,1.0,1.0,0.19628694653511047,0.17925624549388885,1.0,1.0,1.0,1.0,0.8978520631790161,-0.9584931135177612,0.18330605328083038,0.1745075136423111,0.9846558570861816,0.05583333224058151
mirror_pair01_negative,1,negative,1,4,0.937847375869751,-0.9734339714050293,0.1368923783302307,-0.2920302152633667,1,0.5734750628471375,0.08579794773300989,-0.021814252663455883,340.0,1.0,1.0,1.0,1.0,0.20876607298851013,0.16835783421993256,1.0,1.0,1.0,1.0,0.8971794247627258,-0.958172082901001,0.18076083064079285,0.22852078080177307,0.9735390543937683,0.07338888943195343
mirror_pair01_negative,1,negative,1,5,0.9390745162963867,-0.9750784039497375,0.13695372641086578,-0.2925235331058502,1,0.5332930684089661,0.11169209462596881,-0.031898772413701953,337.0,1.0,1.0,1.0,1.0,1.0,0.16385002434253693,0.19778618216514587,1.0,1.0,1.0,0.9364396333694458,-0.9728215932846069,0.17827825248241425,0.2993738651275635,0.9541358947753906,0.0967777743935585
mirror_pair01_negative,1,negative,1,6,0.9409862160682678,-0.9758054614067078,0.13704931735992432,-0.29274165630340576,1,0.5064854621887207,0.13711657702812488,-0.043584573152758065,334.0,1.0,1.0,1.0,1.0,1.0,0.1523694545030594,0.17102573812007904,1.0,1.0,1.0,0.937847375869751,-0.9734339714050293,0.17583125829696655,0.35331156849861145,0.9355056881904602,0.1149444431066513
mirror_pair01_negative,1,negative,1,7,0.9427313804626465,-0.9764852523803711,0.1371365785598755,-0.29294559359550476,1,0.46824437379837036,0.16172720789356973,-0.056686805498340494,330.0,1.0,1.0,1.0,1.0,1.0,0.15116481482982635,0.14471013844013214,1.0,1.0,1.0,0.9390745162963867,-0.9750784039497375,0.1734267622232437,0.40705549716949463,0.9134034514427185,0.13344444334506989
mirror_pair01_negative,1,negative,1,8,0.9447808265686035,-0.9772723317146301,0.13723903894424438,-0.29318171739578247,1,0.44837629795074463,0.18561712360991464,-0.07121789945790509,327.0,1.0,1.0,1.0,1.0,1.0,0.14803901314735413,0.13378410041332245,1.0,1.0,1.0,0.9409862160682678,-0.9758054614067078,0.17110005021095276,0.4756242036819458,0.8796485662460327,0.15777777135372162
mirror_pair01_negative,1,negative,1,9,0.94782954454422,-0.9757967591285706,0.13739147782325745,-0.29273903369903564,1,0.43540310859680176,0.20846078870408036,-0.08707142225285652,323.0,1.0,1.0,1.0,1.0,1.0,0.14859405159950256,0.12810751795768738,0.17694251239299774,1.0,1.0,0.9427313804626465,-0.9764852523803711,0.16884541511535645,0.5275490283966064,0.8495246171951294,0.17688888311386108
