case,scene,episode,step,robot_x,robot_y,goal_distance,goal_relative_angle_deg,min_lidar,residual_linear,residual_angular,cmd_linear,cmd_angular,gate_active,terminal_reason
timeout,diag_pair05_far_positive,2,179,1.469031724634693,-0.9779863471939445,1.1591084446795406,51.74,0.7956860661506653,0.9314771890640259,-0.9712055325508118,0.13657386600971222,-0.29136165976524353,1,running
timeout,diag_pair05_far_positive,2,199,1.8762045749076361,-0.7758286726571472,0.8373857760808087,15.5,0.856562614440918,0.7400441765785217,-0.892042338848114,0.15000000596046448,0.25048965215682983,0,running
timeout,diag_pair05_far_positive,2,219,2.1059046967904202,-0.29368245104787183,0.36188164078069734,69.02,1.872551679611206,0.8755137324333191,-0.9505325555801392,0.122495636343956,-0.28515976667404175,1,running
timeout,diag_pair05_far_positive,2,239,2.2089407840585755,-0.10413180320487148,0.26104528721415354,41.17,0.791680097579956,0.8011677265167236,-0.9246340990066528,0.10163277387619019,-0.2773902416229248,1,running
timeout,diag_pair05_far_positive,2,259,2.221384691165752,0.0845409560699683,0.22371200566929117,104.27,0.780333936214447,0.8991157412528992,-0.9547491073608398,0.0449557863175869,-0.28642475605010986,1,running
timeout,diag_pair05_far_positive,2,279,2.2472601314425673,0.21028674220312563,0.29339348005304533,133.57,1.0081862211227417,0.8845340609550476,-0.9471110105514526,0.0,0.6000000238418579,0,running
timeout,diag_pair05_far_positive,2,299,2.0912758352208476,0.23470273911389591,0.20391581618213497,79.41,0.6932064294815063,0.9576734900474548,-0.9814214110374451,0.09943409264087677,-0.29442644119262695,1,running
timeout,diag_pair05_far_positive,2,300,2.0784967951757807,0.23857858762998865,0.20209069439415317,86.14,0.6845631003379822,0.9604645371437073,-0.9822958707809448,0.04802322760224342,-0.29468876123428345,1,timeout
success,diag_pair05_far_positive,1,168,1.4668081415030092,-0.961340698185078,1.1453708058916574,68.26,2.5253593921661377,0.9343910813331604,-0.9736254215240479,0.13671955466270447,-0.2920876443386078,1,running
success,diag_pair05_far_positive,1,188,1.821357329937261,-0.6970626426228355,0.7704163194084467,26.59,0.743872344493866,0.8001469969749451,-0.9212936162948608,0.13000735640525818,-0.27638810873031616,1,running
success,diag_pair05_far_positive,1,208,2.2074221449924987,-0.3609638873945269,0.46244693219629046,79.65,1.7774875164031982,0.8875218629837036,-0.9535623788833618,0.0,0.6000000238418579,0,running
success,diag_pair05_far_positive,1,228,2.160568556660211,-0.12262255613852033,0.2374862306257067,8.54,0.777849555015564,0.8719780445098877,-0.9457361102104187,0.1026441901922226,-0.28372085094451904,1,running
success,diag_pair05_far_positive,1,230,2.1402314078289355,-0.08807887146594391,0.19846098693945724,17.96,0.7241020798683167,0.8474423289299011,-0.9351359009742737,0.09527328610420227,-0.28054079413414,1,success
early_collision,diag_pair02_near_positive,1,1,0.005144471021348229,0.0008441578055740661,1.9959349068441479,-6.12,0.6076037883758545,0.8872769474983215,-0.9531551003456116,0.13436385989189148,-0.2859465479850769,1,running
early_collision,diag_pair02_near_positive,1,6,0.12774060199888657,0.001824585462008145,1.873375320238147,8.98,0.46087515354156494,0.9351694583892822,-0.9719776511192322,0.1367584764957428,-0.2915933132171631,1,running
early_collision,diag_pair02_near_positive,1,11,0.26185640944476524,-0.034629919366278565,1.7410817320993162,27.33,0.3495332896709442,0.9445875287055969,-0.97408127784729,0.13722938299179077,-0.2922244071960449,1,running
early_collision,diag_pair02_near_positive,1,16,0.37891545743543725,-0.10801293089672258,1.6304482716810227,47.14,0.2401151955127716,0.9170584082603455,-0.9657602906227112,0.13585293292999268,-0.2897281050682068,1,running
early_collision,diag_pair02_near_positive,1,19,0.43727164820652187,-0.16737754954688003,1.5801289500219116,58.51,0.19439545273780823,0.9224422574043274,-0.9646062850952148,0.13612212240695953,-0.28938189148902893,1,collision
